epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.041,1.36772,1.79179,1.18615,0.54628,0.45944,0.47209,0.19127,1.9257,2.06727,1.31842,0.000412234,0.000412234,0.000412234
2,306.042,1.261,0.94195,1.14909,0.58852,0.2784,0.29988,0.12962,1.95553,2.00551,1.3093,0.000820695,0.000820695,0.000820695
3,486.93,1.22296,0.85697,1.16859,0.70591,0.30915,0.34566,0.14271,2.00176,1.65044,1.47173,0.00122091,0.00122091,0.00122091
4,665.328,1.17767,0.77635,1.15773,0.59558,0.32077,0.32637,0.11867,2.21309,1.40712,1.55566,0.00121287,0.00121287,0.00121287
5,865.957,1.15226,0.75197,1.14161,0.55106,0.3651,0.37118,0.14554,2.08032,1.38693,1.48004,0.0012005,0.0012005,0.0012005
6,1062.79,1.14288,0.7156,1.12522,0.7456,0.29624,0.33103,0.16315,1.74138,1.19177,1.37505,0.00118812,0.00118812,0.00118812
7,1271.03,1.10687,0.67249,1.12067,0.6343,0.3493,0.35717,0.1657,1.87025,1.05916,1.49569,0.00117575,0.00117575,0.00117575
8,1476.07,1.0667,0.64223,1.08629,0.78372,0.45586,0.503,0.254,1.66111,0.91235,1.3796,0.00116337,0.00116337,0.00116337
9,1675.31,1.067,0.62939,1.08659,0.77223,0.46584,0.529,0.27827,1.58951,1.0102,1.34283,0.001151,0.001151,0.001151
10,1865.49,1.02283,0.61346,1.07316,0.82045,0.52376,0.5949,0.29723,1.83762,1.0233,1.39145,0.00113863,0.00113863,0.00113863
11,2054.69,1.00789,0.5983,1.0671,0.79132,0.52592,0.59279,0.30163,1.72655,0.92133,1.35293,0.00112625,0.00112625,0.00112625
12,2237.32,1.026,0.59449,1.06312,0.77998,0.61983,0.67278,0.3378,1.69992,0.92441,1.3951,0.00111388,0.00111388,0.00111388
13,2416.37,0.99564,0.58046,1.05352,0.75448,0.59719,0.66839,0.33586,1.6295,1.2755,1.3561,0.0011015,0.0011015,0.0011015
14,2587.14,0.97122,0.55943,1.04189,0.80224,0.66005,0.70387,0.36233,1.61159,0.9527,1.37536,0.00108913,0.00108913,0.00108913
15,2757.27,0.96139,0.55357,1.05276,0.82581,0.65834,0.70722,0.35477,1.62181,0.91441,1.31418,0.00107675,0.00107675,0.00107675
16,2931.45,0.96788,0.5679,1.03094,0.77933,0.66906,0.72049,0.36627,1.58127,0.92998,1.33989,0.00106437,0.00106437,0.00106437
17,3088.41,0.97504,0.55193,1.03733,0.87728,0.6454,0.76028,0.3795,1.6707,0.84667,1.32219,0.001052,0.001052,0.001052
18,3261.87,0.98067,0.5448,1.03586,0.8896,0.68015,0.7797,0.43447,1.45707,0.79858,1.29624,0.00103962,0.00103962,0.00103962
19,3413.38,0.93456,0.53686,1.01596,0.83751,0.67431,0.73035,0.35474,1.65752,0.82135,1.35517,0.00102725,0.00102725,0.00102725
20,3568.6,0.94098,0.52706,1.0103,0.86385,0.65908,0.74862,0.37461,1.58638,0.7574,1.37276,0.00101488,0.00101488,0.00101488
21,3726.02,0.90333,0.50174,1.0129,0.87481,0.64961,0.73668,0.37749,1.55104,0.79643,1.36929,0.0010025,0.0010025,0.0010025
22,3872.18,0.90165,0.4955,1.01783,0.81863,0.62551,0.67047,0.32912,1.63711,0.89493,1.38778,0.000990125,0.000990125,0.000990125
23,4023.3,0.91911,0.51659,1.01844,0.84853,0.67567,0.75303,0.39105,1.63367,0.88916,1.41516,0.00097775,0.00097775,0.00097775
24,4174.11,0.90886,0.50541,1.00141,0.8641,0.66372,0.73716,0.37895,1.52313,0.78875,1.33752,0.000965375,0.000965375,0.000965375
25,4327.41,0.8843,0.49196,1.00202,0.8886,0.70292,0.79133,0.43197,1.44207,0.74549,1.33309,0.000953,0.000953,0.000953
26,4479.53,0.88428,0.48895,0.99214,0.8921,0.68747,0.77975,0.41408,1.55801,0.79259,1.28749,0.000940625,0.000940625,0.000940625
27,4623.12,0.89074,0.49483,0.99473,0.86818,0.67318,0.75162,0.4079,1.42119,0.73916,1.28246,0.00092825,0.00092825,0.00092825
28,4780.85,0.8666,0.48275,0.98913,0.89939,0.6793,0.783,0.41826,1.4539,0.7672,1.30467,0.000915875,0.000915875,0.000915875
29,4948.99,0.84778,0.46972,0.97999,0.88987,0.68801,0.76881,0.42795,1.45087,0.77037,1.31915,0.0009035,0.0009035,0.0009035
30,5110.05,0.86103,0.47486,0.97768,0.87623,0.70164,0.78751,0.42256,1.46563,0.73525,1.34463,0.000891125,0.000891125,0.000891125
31,5269.97,0.8323,0.46854,0.96342,0.90193,0.6794,0.76048,0.41579,1.42045,0.78631,1.33907,0.00087875,0.00087875,0.00087875
32,5431.72,0.84765,0.46745,0.97302,0.88227,0.68207,0.77401,0.41797,1.42616,0.78401,1.33108,0.000866375,0.000866375,0.000866375
33,5597.44,0.83322,0.46236,0.9746,0.88576,0.68827,0.76922,0.42444,1.40642,0.77517,1.31961,0.000854,0.000854,0.000854
34,5752.71,0.81619,0.45903,0.96932,0.85523,0.70342,0.75225,0.38427,1.42199,0.74854,1.33517,0.000841625,0.000841625,0.000841625
35,5898.58,0.8282,0.4538,0.97395,0.84938,0.69901,0.78392,0.4346,1.48987,0.77664,1.27878,0.00082925,0.00082925,0.00082925
36,6060.9,0.80407,0.4423,0.95056,0.88597,0.69685,0.7648,0.39845,1.48224,0.76673,1.36025,0.000816875,0.000816875,0.000816875
