epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,6223.55,0.79929,0.44016,0.95004,0.84277,0.67377,0.74435,0.42608,1.41489,0.82925,1.31081,0.0008045,0.0008045,0.0008045
38,6359.76,0.81511,0.44579,0.96133,0.90136,0.67542,0.75261,0.42518,1.35179,0.78105,1.31721,0.000792125,0.000792125,0.000792125
39,6502.82,0.80751,0.43915,0.95737,0.91873,0.69269,0.78714,0.41978,1.48646,0.74825,1.36457,0.00077975,0.00077975,0.00077975
40,6656.56,0.80688,0.43832,0.95236,0.92589,0.70712,0.79458,0.46141,1.29466,0.74055,1.28897,0.000767375,0.000767375,0.000767375
41,6808.18,0.80927,0.43889,0.95294,0.89182,0.68604,0.76611,0.43463,1.32749,0.71565,1.30849,0.000755,0.000755,0.000755
42,6950.28,0.82001,0.44314,0.95541,0.82834,0.65301,0.71596,0.37532,1.49907,0.88469,1.35979,0.000742625,0.000742625,0.000742625
43,7101.82,0.82363,0.44734,0.95872,0.8916,0.74854,0.80071,0.43196,1.4906,0.73184,1.29576,0.00073025,0.00073025,0.00073025
44,7243.42,0.79692,0.43839,0.9574,0.89448,0.69238,0.75702,0.42403,1.34265,0.70703,1.29355,0.000717875,0.000717875,0.000717875
45,7379.4,0.77829,0.42123,0.94655,0.8859,0.70319,0.77717,0.4384,1.31663,0.71903,1.30733,0.0007055,0.0007055,0.0007055
46,7522.4,0.76939,0.41835,0.92984,0.90098,0.68301,0.75613,0.4418,1.32103,0.80937,1.30153,0.000693125,0.000693125,0.000693125
47,7651.26,0.75892,0.41148,0.93805,0.87441,0.67059,0.753,0.42511,1.4106,0.81203,1.2862,0.00068075,0.00068075,0.00068075
48,7784.16,0.77219,0.41286,0.9388,0.89169,0.68424,0.75901,0.43103,1.3327,0.71712,1.31513,0.000668375,0.000668375,0.000668375
49,7914.71,0.79955,0.41582,0.95731,0.86923,0.69922,0.79103,0.42029,1.42765,0.73556,1.32801,0.000656,0.000656,0.000656
50,8063.99,0.78974,0.42787,0.9498,0.91545,0.69204,0.80226,0.46436,1.32707,0.71883,1.29245,0.000643625,0.000643625,0.000643625
51,8203.22,0.77677,0.41769,0.93625,0.89088,0.68957,0.77736,0.42321,1.38117,0.73286,1.32897,0.00063125,0.00063125,0.00063125
52,8348.97,0.75907,0.41361,0.93868,0.89598,0.71144,0.80015,0.46426,1.27074,0.66874,1.28973,0.000618875,0.000618875,0.000618875
53,8493.98,0.7588,0.4029,0.92925,0.89094,0.70885,0.79918,0.46765,1.2925,0.6816,1.30221,0.0006065,0.0006065,0.0006065
54,8620.04,0.7468,0.39753,0.93036,0.88682,0.71293,0.79623,0.45419,1.33013,0.69778,1.32537,0.000594125,0.000594125,0.000594125
55,8753.1,0.75215,0.40374,0.92969,0.87231,0.72045,0.80559,0.4607,1.31548,0.68742,1.31307,0.00058175,0.00058175,0.00058175
56,8882.05,0.73533,0.39217,0.92732,0.89736,0.69372,0.77386,0.43619,1.33619,0.71631,1.32023,0.000569375,0.000569375,0.000569375
57,9019.84,0.74631,0.40246,0.93234,0.90631,0.68361,0.78112,0.44078,1.36649,0.72134,1.3437,0.000557,0.000557,0.000557
58,9154.91,0.7208,0.39391,0.92551,0.86192,0.69128,0.78277,0.45434,1.34157,0.70161,1.32791,0.000544625,0.000544625,0.000544625
59,9281.64,0.72572,0.39552,0.92435,0.86647,0.68934,0.78735,0.46707,1.2873,0.70795,1.33393,0.00053225,0.00053225,0.00053225
60,9412.58,0.72019,0.38885,0.93117,0.88856,0.71521,0.79689,0.46117,1.30076,0.67219,1.32258,0.000519875,0.000519875,0.000519875
61,9539.27,0.71279,0.38324,0.92577,0.91666,0.68498,0.80253,0.45355,1.3233,0.72195,1.32329,0.0005075,0.0005075,0.0005075
62,9674.53,0.73155,0.38756,0.927,0.87733,0.70193,0.79957,0.45544,1.33055,0.71434,1.32432,0.000495125,0.000495125,0.000495125
63,9801.4,0.69369,0.37423,0.9148,0.89546,0.68359,0.79728,0.46984,1.291,0.69143,1.29315,0.00048275,0.00048275,0.00048275
64,9933.65,0.71281,0.38538,0.91997,0.87751,0.70427,0.79023,0.45265,1.39483,0.70876,1.31847,0.000470375,0.000470375,0.000470375
65,10061.4,0.73586,0.39101,0.91957,0.88318,0.72062,0.78843,0.45934,1.31222,0.6995,1.31805,0.000458,0.000458,0.000458
66,10186.6,0.7307,0.38528,0.92038,0.87871,0.70099,0.78372,0.4541,1.31369,0.71515,1.29452,0.000445625,0.000445625,0.000445625
67,10321.9,0.70224,0.37351,0.90915,0.88252,0.70581,0.77773,0.45331,1.31681,0.70151,1.30556,0.00043325,0.00043325,0.00043325
68,10452.2,0.69546,0.37809,0.91179,0.85568,0.71626,0.79621,0.45826,1.32836,0.69119,1.31295,0.000420875,0.000420875,0.000420875
69,10568.6,0.71045,0.37844,0.91208,0.85037,0.73448,0.80526,0.47019,1.26854,0.66741,1.32756,0.0004085,0.0004085,0.0004085
70,10708.6,0.69948,0.37027,0.9113,0.90519,0.70067,0.81205,0.47937,1.25811,0.68304,1.31797,0.000396125,0.000396125,0.000396125
71,10845.5,0.68667,0.36751,0.91022,0.90399,0.70861,0.80287,0.46551,1.27192,0.66478,1.29196,0.00038375,0.00038375,0.00038375
72,10966.2,0.68379,0.36173,0.90723,0.86775,0.71277,0.80358,0.46815,1.31232,0.69934,1.30498,0.000371375,0.000371375,0.000371375
73,11081.7,0.68211,0.36301,0.90667,0.90225,0.69212,0.79183,0.47613,1.24562,0.68614,1.28787,0.000359,0.000359,0.000359
74,11203.1,0.68889,0.36159,0.9144,0.90011,0.70678,0.8092,0.47838,1.24309,0.66632,1.29957,0.000346625,0.000346625,0.000346625
75,11336,0.67404,0.35542,0.9025,0.89285,0.72497,0.82262,0.48522,1.26867,0.65018,1.31227,0.00033425,0.00033425,0.00033425
76,11458.7,0.66828,0.35775,0.90014,0.89865,0.69461,0.79777,0.4759,1.30173,0.67736,1.30109,0.000321875,0.000321875,0.000321875
77,11566.6,0.66922,0.35561,0.9099,0.90557,0.71849,0.81004,0.4787,1.27527,0.66802,1.28966,0.0003095,0.0003095,0.0003095
78,11688,0.66028,0.34844,0.90422,0.87991,0.74104,0.81784,0.48179,1.24492,0.64231,1.29441,0.000297125,0.000297125,0.000297125
79,11806.2,0.65636,0.34656,0.90298,0.88769,0.73352,0.82197,0.49231,1.25958,0.66251,1.28596,0.00028475,0.00028475,0.00028475
80,11918.1,0.65792,0.35148,0.89394,0.89765,0.72062,0.81324,0.48119,1.26303,0.65331,1.28393,0.000272375,0.000272375,0.000272375
81,12024.5,0.63401,0.33997,0.89393,0.91364,0.71676,0.82194,0.50311,1.20633,0.62896,1.2853,0.00026,0.00026,0.00026
82,12157.2,0.65747,0.34761,0.89711,0.88221,0.72858,0.81362,0.48505,1.26279,0.65662,1.31128,0.000247625,0.000247625,0.000247625
83,12286.2,0.64198,0.34134,0.89627,0.88072,0.73671,0.81644,0.50474,1.21279,0.65292,1.28284,0.00023525,0.00023525,0.00023525
84,12417.7,0.61895,0.33584,0.88144,0.90003,0.71685,0.81013,0.49068,1.23076,0.65109,1.30411,0.000222875,0.000222875,0.000222875
85,12548.4,0.62107,0.33336,0.88741,0.89664,0.71837,0.80716,0.48544,1.27553,0.65425,1.32139,0.0002105,0.0002105,0.0002105
86,12675.5,0.63081,0.3358,0.89135,0.8926,0.71772,0.80439,0.49159,1.24687,0.66306,1.31029,0.000198125,0.000198125,0.000198125
87,12816.2,0.63236,0.33784,0.88295,0.90182,0.71484,0.81008,0.49458,1.25837,0.67457,1.30541,0.00018575,0.00018575,0.00018575
88,12937.1,0.64267,0.33591,0.89525,0.87985,0.73404,0.82008,0.49545,1.24863,0.6554,1.30712,0.000173375,0.000173375,0.000173375
89,13066.3,0.62674,0.32864,0.88651,0.8744,0.72697,0.81497,0.49369,1.26084,0.65659,1.31927,0.000161,0.000161,0.000161
90,13198.2,0.61496,0.32621,0.88611,0.866,0.7235,0.81213,0.50182,1.24425,0.65492,1.3116,0.000148625,0.000148625,0.000148625
91,13321.1,0.56483,0.28542,0.89079,0.90499,0.70478,0.80077,0.48391,1.25162,0.66187,1.30814,0.00013625,0.00013625,0.00013625
92,13458.1,0.56499,0.28058,0.88915,0.8837,0.71457,0.80613,0.49819,1.2288,0.66381,1.3031,0.000123875,0.000123875,0.000123875
93,13579.8,0.57753,0.28549,0.88477,0.87121,0.73258,0.81821,0.50361,1.20883,0.6592,1.30674,0.0001115,0.0001115,0.0001115
94,13697.2,0.55499,0.27681,0.8738,0.90202,0.71386,0.81305,0.49932,1.224,0.65328,1.29989,9.9125e-05,9.9125e-05,9.9125e-05
95,13823.9,0.55831,0.2765,0.88648,0.9071,0.7097,0.81,0.49506,1.23166,0.65652,1.31529,8.675e-05,8.675e-05,8.675e-05
96,13951.2,0.55138,0.27463,0.87444,0.89314,0.71647,0.81676,0.50303,1.22963,0.65341,1.30435,7.4375e-05,7.4375e-05,7.4375e-05
97,14076.6,0.54728,0.2716,0.88299,0.87997,0.72088,0.82143,0.50387,1.23495,0.66344,1.3202,6.2e-05,6.2e-05,6.2e-05
98,14204.3,0.5378,0.2704,0.86965,0.88936,0.71332,0.81951,0.50917,1.20601,0.64429,1.30916,4.9625e-05,4.9625e-05,4.9625e-05
99,14320.6,0.53601,0.26854,0.87058,0.90683,0.70451,0.82297,0.50816,1.2076,0.6372,1.30982,3.725e-05,3.725e-05,3.725e-05
100,14433.6,0.54593,0.27216,0.87459,0.8855,0.72029,0.8209,0.50975,1.19725,0.63543,1.31125,2.4875e-05,2.4875e-05,2.4875e-05
