epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7870.93,0.78173,0.49602,0.95497,0.88729,0.7097,0.77519,0.43042,1.3387,0.67756,1.27337,0.000742625,0.000742625,0.000742625
43,8021.11,0.80066,0.49503,0.95856,0.8995,0.69555,0.79783,0.43809,1.49121,0.71937,1.31751,0.00073025,0.00073025,0.00073025
44,8183.46,0.79587,0.48471,0.96018,0.87842,0.69883,0.77622,0.4315,1.42229,0.73398,1.28514,0.000717875,0.000717875,0.000717875
45,8329.36,0.79116,0.48312,0.9588,0.92511,0.72139,0.81991,0.44496,1.4631,0.70953,1.31921,0.0007055,0.0007055,0.0007055
46,8487.04,0.79383,0.47672,0.96114,0.88527,0.72888,0.7696,0.42885,1.3307,0.68435,1.29477,0.000693125,0.000693125,0.000693125
47,8631.93,0.79406,0.47786,0.95604,0.89923,0.71954,0.80376,0.46145,1.31087,0.68721,1.28845,0.00068075,0.00068075,0.00068075
48,8776.27,0.75983,0.4704,0.94408,0.88317,0.67384,0.77124,0.4253,1.39187,0.73185,1.33774,0.000668375,0.000668375,0.000668375
49,8928.15,0.76988,0.4764,0.9547,0.89135,0.7209,0.80584,0.46075,1.32795,0.68319,1.2712,0.000656,0.000656,0.000656
50,9074.1,0.78315,0.47842,0.9464,0.89259,0.69987,0.75992,0.42339,1.38199,0.69383,1.30659,0.000643625,0.000643625,0.000643625
51,9223.45,0.792,0.4742,0.95782,0.90789,0.70327,0.78698,0.4321,1.38223,0.69326,1.30427,0.00063125,0.00063125,0.00063125
52,9369.01,0.77671,0.46807,0.94425,0.89235,0.71288,0.78495,0.43483,1.40912,0.69572,1.34963,0.000618875,0.000618875,0.000618875
53,9514.15,0.75328,0.47478,0.94086,0.87379,0.72023,0.78242,0.43641,1.35991,0.70934,1.27875,0.0006065,0.0006065,0.0006065
54,9672.65,0.76647,0.50748,0.95094,0.9172,0.69703,0.78581,0.45877,1.33515,0.74079,1.25849,0.000594125,0.000594125,0.000594125
55,9819.57,0.7624,0.46013,0.93806,0.9031,0.67566,0.77199,0.44251,1.36674,0.73205,1.29324,0.00058175,0.00058175,0.00058175
